tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0959329	movie	Nine Dead	Nine Dead	0	2009.0	\N	98	Crime,Drama,Horror	5.4	13830
tt0959337	movie	Revolutionary Road	Revolutionary Road	0	2008.0	\N	119	Drama,Romance	7.3	217954
tt0960144	movie	You Don't Mess with the Zohan	You Don't Mess with the Zohan	0	2008.0	\N	113	Action,Comedy	5.6	206943
tt0960731	movie	Bedtime Stories	Bedtime Stories	0	2008.0	\N	99	Adventure,Comedy,Family	6.0	97849
tt0960790	movie	Rabbit Without Ears	Keinohrhasen	0	2007.0	\N	116	Comedy,Romance	6.5	18279
tt0960890	movie	Zombie Strippers!	Zombie Strippers!	0	2008.0	\N	94	Comedy,Horror,Sci-Fi	4.1	18635
tt0961097	movie	A Monster in Paris	Un monstre à Paris	0	2011.0	\N	90	Adventure,Animation,Comedy	6.7	21792
tt0961108	movie	Fireflies in the Garden	Fireflies in the Garden	0	2008.0	\N	99	Drama	6.4	13233
tt0961722	movie	Cabin Fever 2: Spring Fever	Cabin Fever 2: Spring Fever	0	2009.0	\N	86	Horror	4.3	14447
tt0961728	movie	The Escapist	The Escapist	0	2008.0	\N	102	Crime,Drama,Thriller	6.7	17152
tt0962726	movie	High School Musical 3: Senior Year	High School Musical 3: Senior Year	0	2008.0	\N	112	Comedy,Drama,Family	4.9	64699
tt0962736	movie	The Young Victoria	The Young Victoria	0	2009.0	\N	105	Biography,Drama,History	7.2	63619
tt0963178	movie	The International	The International	0	2009.0	\N	118	Action,Crime,Drama	6.5	97222
tt0963194	movie	Repo! The Genetic Opera	Repo! The Genetic Opera	0	2008.0	\N	98	Horror,Musical,Sci-Fi	6.4	25690
tt0963743	movie	Angus, Thongs and Perfect Snogging	Angus, Thongs and Perfect Snogging	0	2008.0	\N	100	Comedy,Drama,Romance	6.3	28995
tt0963794	movie	The Ruins	The Ruins	0	2008.0	\N	90	Adventure,Horror,Thriller	5.9	77507
tt0963966	movie	The Sorcerer's Apprentice	The Sorcerer's Apprentice	0	2010.0	\N	109	Action,Adventure,Family	6.1	165444
tt0964185	movie	Tetro	Tetro	0	2009.0	\N	127	Drama	6.8	13373
tt0964516	movie	Fashion	Fashion	0	2008.0	\N	167	Drama,Romance	6.9	12795
tt0964517	movie	The Fighter	The Fighter	0	2010.0	\N	116	Action,Biography,Drama	7.8	375856
tt0964539	movie	Pathology	Pathology	0	2008.0	\N	95	Crime,Horror,Thriller	5.9	32779
